"var","base_demo_sex","count_base","count_img","dist_base","dist_img","dist_diff"
"base_demo_sex","Female",229136,10122,0.455955744816333,0.474476163690058,0.0185204188737246
"base_demo_sex","Male",273404,11211,0.544044255183667,0.525523836309942,-0.0185204188737246
"base_demo_age_bucket","40 to 44",51803,2413,0.103082341704143,0.113111142361599,0.0100288006574564
"base_demo_age_bucket","44 to 49",66083,3333,0.131497990209735,0.156236816200253,0.0247388259905186
"base_demo_age_bucket","50 to 54",76337,4009,0.151902336132447,0.187924811325177,0.0360224751927298
"base_demo_age_bucket","55 to 59",90824,4748,0.180729892147889,0.2225659775934,0.0418360854455112
"base_demo_age_bucket","60 to 64",121484,4678,0.241739960998129,0.219284676323068,-0.0224552846750619
"base_demo_age_bucket","65 to 70",96002,2152,0.191033549568194,0.100876576196503,-0.0901569733716905
"base_demo_age_bucket","70 plus",7,0,1.39292394635253e-05,0,-1.39292394635253e-05
"base_demo_ethnicity_full","01-White",443184,19688,0.881888008914713,0.92288942014719,0.0410014112324765
"base_demo_ethnicity_full","02-White Irish",13209,506,0.0262844748676722,0.0237191206112595,-0.00256535425641267
"base_demo_ethnicity_full","03-White Other",16336,501,0.0325068651251642,0.023484741949093,-0.00902212317607121
"base_demo_ethnicity_full","04-Mixed",2958,87,0.0058860986190154,0.00407818872169878,-0.00180790989731663
"base_demo_ethnicity_full","05-Asian Indian",5951,137,0.0118418434353484,0.00642197534336474,-0.00541986809198369
"base_demo_ethnicity_full","05-Asian Pakistani",1837,45,0.00365543041349942,0.00210940795949937,-0.00154602245400006
"base_demo_ethnicity_full","06-Asian Bangladeshi",236,5,0.000469614359055996,0.000234378662166596,-0.000235235696889399
"base_demo_ethnicity_full","07-Asian Other",1858,26,0.00369721813189,0.0012187690432663,-0.0024784490886237
"base_demo_ethnicity_full","08-Black Carribean",4517,74,0.00898833923667768,0.00346880420006563,-0.00551953503661205
"base_demo_ethnicity_full","09-Black African",3394,47,0.00675369124845783,0.00220315942436601,-0.00455053182409183
"base_demo_ethnicity_full","10-Black Other",150,1,0.000298483702789828,4.68757324333193e-05,-0.000251607970356508
"base_demo_ethnicity_full","11-Other",8910,216,0.0177299319457158,0.010125158205597,-0.0076047737401188
"base_demo_ethnicity_4way","01-White",472729,20695,0.94067934890755,0.970093282707542,0.0294139337999927
"base_demo_ethnicity_4way","02-Mixed/Other",11868,303,0.0236160305647312,0.0142033469272957,-0.00941268363743543
"base_demo_ethnicity_4way","03-Asian",9882,213,0.0196641063397938,0.00998453100829701,-0.00967957533149684
"base_demo_ethnicity_4way","04-Black",8061,122,0.0160405141879253,0.00571883935686495,-0.0103216748310604
"base_demo_white","01-White",472729,20695,0.94067934890755,0.970093282707542,0.0294139337999927
"base_demo_white","02-Non-white",28913,633,0.0575337286584153,0.0296723386302911,-0.0278613900281242
"base_demo_white",NA,898,5,0.0017869224340351,0.000234378662166596,-0.00155254377186851
"base_demo_empl_employed","0",215366,6750,0.428554940900227,0.316411193924905,-0.112143746975322
"base_demo_empl_employed","1",287174,14583,0.571445059099773,0.683588806075095,0.112143746975322
"base_demo_empl_retired","0",325084,15356,0.646881840251522,0.719823747246051,0.0729419069945284
"base_demo_empl_retired","1",177456,5977,0.353118159748478,0.280176252753949,-0.0729419069945284
"base_demo_empl_homemaker","0",476965,20267,0.949108528674334,0.950030469226082,0.000921940551747324
"base_demo_empl_homemaker","1",25575,1066,0.0508914713256656,0.0499695307739183,-0.000921940551747276
"base_demo_empl_disabled","0",482157,21013,0.959440044573566,0.984999765621338,0.0255597210477716
"base_demo_empl_disabled","1",20383,320,0.0405599554264337,0.0150002343786622,-0.0255597210477716
"base_demo_empl_unemployed","0",493031,21059,0.981078123134477,0.987156049313271,0.00607792617879366
"base_demo_empl_unemployed","1",9509,274,0.0189218768655231,0.0128439506867295,-0.00607792617879366
"base_demo_empl_volunteer","0",484152,20432,0.963409877820671,0.957764965077579,-0.00564491274309165
"base_demo_empl_volunteer","1",18388,901,0.036590122179329,0.0422350349224207,0.00564491274309166
"base_demo_empl_student","0",497984,21103,0.990934055000597,0.989218581540337,-0.00171547346026035
"base_demo_empl_student","1",4556,230,0.00906594499940303,0.0107814184596634,0.0017154734602604
"base_demo_occupation","01-manager",55862,3035,0.111159310701636,0.142267847935124,0.0311085372334883
"base_demo_occupation","02-professional",75247,4852,0.149733354558841,0.227441053766465,0.077707699207624
"base_demo_occupation","03-assoc professional",56169,3134,0.111770207346679,0.146908545446023,0.0351383380993437
"base_demo_occupation","04-admin",50799,2315,0.101084490786803,0.108517320583134,0.00743282979633107
"base_demo_occupation","05-skilled trades",24065,736,0.047886735384248,0.034500539070923,-0.013386196313325
"base_demo_occupation","06-personal service",20005,756,0.0398077764954034,0.0354380537195894,-0.00436972277581398
"base_demo_occupation","07-sales customer service",11450,384,0.0227842559796235,0.0180002812543946,-0.00478397472522891
"base_demo_occupation","08-industrial",14912,472,0.0296732598400127,0.0221253457085267,-0.00754791413148604
"base_demo_occupation","09-elementary",16574,396,0.032980459266924,0.0185627900435944,-0.0144176692233296
"base_demo_occupation","10-unemployed/DNK",177457,5253,0.35312014963983,0.246238222472226,-0.106881927167604
"base_demo_educ_collegeplus","0",341362,12013,0.679273291678274,0.563118173721464,-0.11615511795681
"base_demo_educ_collegeplus","1",161178,9320,0.320726708321726,0.436881826278536,0.11615511795681
"base_demo_educ_alevels","0",372319,13715,0.740874358260039,0.642900670322974,-0.0979736879370652
"base_demo_educ_alevels","1",130221,7618,0.259125641739961,0.357099329677026,0.0979736879370652
"base_demo_educ_olevels","0",278009,9739,0.553207704859315,0.456522758168096,-0.0966849466912183
"base_demo_educ_olevels","1",224531,11594,0.446792295140685,0.543477241831904,0.0966849466912183
"base_demo_educ_cses","0",438028,18206,0.871628129104151,0.853419584681011,-0.0182085444231402
"base_demo_educ_cses","1",64512,3127,0.128371870895849,0.146580415318989,0.0182085444231403
"base_demo_educ_vocational","0",411532,17067,0.818903967843356,0.80002812543946,-0.0188758424038957
"base_demo_educ_vocational","1",91008,4266,0.181096032156644,0.19997187456054,0.0188758424038958
"base_demo_educ_profesh","0",363249,13588,0.722826043698014,0.636947452303942,-0.0858785913940718
"base_demo_educ_profesh","1",139291,7745,0.277173956301986,0.363052547696058,0.0858785913940718
"base_demo_educ_highest_full","01-College plus",161178,9320,0.320726708321726,0.436881826278536,0.11615511795681
"base_demo_educ_highest_full","02-A Levels",55326,2755,0.110092728937,0.129142642853795,0.0190499139167946
"base_demo_educ_highest_full","03-O Levels",105200,4308,0.209336570223266,0.201940655322739,-0.00739591490052641
"base_demo_educ_highest_full","04-CSEs",26887,907,0.0535022087794006,0.0425162893170206,-0.0109859194623801
"base_demo_educ_highest_full","05-Vocational",32730,1159,0.0651291439487404,0.054328973890217,-0.0108001700585234
"base_demo_educ_highest_full","06-Other professional",25805,1077,0.05134914633661,0.0504851638306849,-0.000863982505925169
"base_demo_educ_highest_full","07-None",4645,360,0.009243045329725,0.0168752636759949,0.00763221834626994
"base_demo_educ_highest_full","99-DNK/Refused",90769,1447,0.180620448123532,0.067829184831013,-0.112791263292519
"base_demo_educ_highest","01-College plus/profesh",186983,10397,0.372075854658336,0.48736699010922,0.115291135450885
"base_demo_educ_highest","02-A Levels",55326,2755,0.110092728937,0.129142642853795,0.0190499139167946
"base_demo_educ_highest","03-O Levels/CEs",132087,5215,0.262838779002666,0.24445694463976,-0.0183818343629064
"base_demo_educ_highest","04-Vocational/Other",32730,1159,0.0651291439487404,0.054328973890217,-0.0108001700585234
"base_demo_educ_highest","05-None",4645,360,0.009243045329725,0.0168752636759949,0.00763221834626994
"base_demo_educ_highest","99-DNK/Refused",90769,1447,0.180620448123532,0.067829184831013,-0.112791263292519
"base_demo_income_bucket","01-Under 18k",97208,2448,0.193433358538624,0.114751792996766,-0.0786815655418582
"base_demo_income_bucket","02-18k to 31k",108179,4452,0.215264456560672,0.208690760793137,-0.00657369576753439
"base_demo_income_bucket","03-31k to 52k",110776,5983,0.22043220440164,0.280457507148549,0.0600253027469096
"base_demo_income_bucket","04-52k to 100k",86272,5109,0.171671906713893,0.239488117001828,0.0678162102879347
"base_demo_income_bucket","05-Over 100k",22932,1166,0.0456321884825089,0.0546571040172503,0.00902491553474141
"base_demo_income_bucket","06-DNK/Refused",77173,2175,0.153565885302662,0.101954718042469,-0.051611167260193
"base_demo_year_immigrated","00-Born in UK",457981,20259,0.911332431249254,0.949655463366615,0.0383230321173613
"base_demo_year_immigrated","01-Before 1941",696,7,0.0013849643809448,0.000328130127033235,-0.00105683425391157
"base_demo_year_immigrated","02-1941 to 1950",1816,53,0.00361364269510885,0.00248441381896592,-0.00112922887614293
"base_demo_year_immigrated","03-1951 to 1960",5419,163,0.0107832212361205,0.00764074438663104,-0.00314247684948947
"base_demo_year_immigrated","04-1961 to 1970",12540,341,0.0249532375532296,0.0159846247597619,-0.00896861279346772
"base_demo_year_immigrated","05-1971 to 1980",8099,211,0.0161161300592988,0.00989077954343037,-0.0062253505158684
"base_demo_year_immigrated","06-1981 to 1990",5791,118,0.0115234608190393,0.00553133642713167,-0.00599212439190761
"base_demo_year_immigrated","07-1991 to 2000",5529,116,0.011002109284833,0.00543758496226504,-0.00556452432256801
"base_demo_year_immigrated","08-2001 to 2003",2182,34,0.00434194292991603,0.00159377490273286,-0.00274816802718317
"base_demo_year_immigrated","09-2004 to 2006",1875,24,0.00373104628487285,0.00112501757839966,-0.00260602870647318
"base_demo_year_immigrated","10-2007 to 2009",612,7,0.0012178135073825,0.000328130127033235,-0.000889683380349262
"base_demo_hh_size","1",92925,3201,0.184910653878298,0.150049219519055,-0.0348614343592433
"base_demo_hh_size","2",232762,9804,0.463171090858439,0.459569680776262,-0.00360141008217696
"base_demo_hh_size","3",78312,3582,0.155832371552513,0.16790887357615,0.0120765020236364
"base_demo_hh_size","4",67126,3407,0.1335734468898,0.159705620400319,0.0261321735105189
"base_demo_hh_size","5 or more",26863,1286,0.0534544513869543,0.0602821919092486,0.00682774052229431
"base_demo_hh_size","99-DNK/Refused",2121,38,0.00422055955744816,0.00178127783246613,-0.00243928172498203
"base_demo_hh_size",NA,2431,15,0.00483742587654714,0.000703135986499789,-0.00413428989004735
"base_demo_hh_ownrent","01-Own outright",259114,11212,0.515608707764556,0.525570712042376,0.00996200427781968
"base_demo_hh_ownrent","02-Own with mortgage",183373,9008,0.36489234687786,0.42225659775934,0.0573642508814795
"base_demo_hh_ownrent","03-Rent from LA",30547,374,0.0607852111274724,0.0175315239300614,-0.043253687197411
"base_demo_hh_ownrent","04-Rent private",15904,413,0.0316472320611295,0.0193596774949609,-0.0122875545661686
"base_demo_hh_ownrent","05-Shared",1490,36,0.00296493811437895,0.00168752636759949,-0.00127741174677946
"base_demo_hh_ownrent","06-Rent free",3633,112,0.00722927528156963,0.00525008203253176,-0.00197919324903787
"base_demo_hh_ownrent","99-DNK/Refused",8479,178,0.016872288773033,0.00834388037313083,-0.00852840839990216
"base_demo_hh_accom_type","01-House",447824,20341,0.891121104787679,0.953499273426147,0.0623781686384687
"base_demo_hh_accom_type","02-Flat, apartment or temp",53772,986,0.107000437776097,0.0462194721792528,-0.0607809655968446
"base_demo_hh_accom_type","03-Other",81,1,0.000161181199506507,4.68757324333193e-05,-0.000114305467073188
"base_demo_hh_accom_type","99-DNK/Refused",863,5,0.00171727623671748,0.000234378662166596,-0.00148289757455088
