"","prop_sampled","sim_num","method","(Intercept)","age_sq","Error age squared","Error Intercept"
"1",0.057,1,"none",2.05988536291553,-0.000489680424863646,0.000101943988791932,-0.290568234658468
"2",0.057,1,"rake",2.49212922553013,-0.00062955896224132,-3.79345485857418e-05,0.141675627956129
"3",0.057,1,"strat",2.12679731747045,-0.000495153908267663,9.64705053879155e-05,-0.223656280103543
"4",0.057,1,"calib",1.45386724718829,-0.000345641799985419,0.000245982613670159,-0.896586350385707
"5",0.057,1,"lasso",2.40293833773706,-0.000589668624063666,1.95578959191279e-06,0.0524847401630595
"6",0.057,1,"logit",2.35077038685105,-0.000572585994274569,1.90384193810088e-05,0.000316789277054141
"7",0.057,1,"bart",2.08820519718149,-0.000498146351308745,9.34780623468329e-05,-0.262248400392508
"8",0.057,2,"none",2.15669786107075,-0.00053634703637505,5.52773772805284e-05,-0.193755736503251
"9",0.057,2,"rake",1.82519667072151,-0.000463388026294477,0.000128236387361101,-0.525256926852485
"10",0.057,2,"strat",2.25654426206406,-0.000572367637678711,1.9256775976867e-05,-0.0939093355099341
"11",0.057,2,"calib",2.34457580369334,-0.000643854468832043,-5.22300551764646e-05,-0.00587779388065446
"12",0.057,2,"lasso",2.25782281901496,-0.000578988079565413,1.26363340901656e-05,-0.0926307785590339
"13",0.057,2,"logit",2.10352345586851,-0.000532532153007448,5.90922606481304e-05,-0.246930141705489
"14",0.057,2,"bart",1.99831583083718,-0.000481156034477226,0.000110468379178352,-0.352137766736819
"15",0.057,3,"none",2.2215362481937,-0.000526783142035562,6.48412716200164e-05,-0.128917349380301
"16",0.057,3,"rake",3.09951872428798,-0.00082259991897914,-0.000230975505323562,0.749065126713985
"17",0.057,3,"strat",2.47942178453723,-0.000609751316152521,-1.81269024969428e-05,0.12896818696323
"18",0.057,3,"calib",2.06178356983664,-0.00048788840487949,0.000103736008776088,-0.288670027737359
"19",0.057,3,"lasso",3.07725856139224,-0.000800033773397381,-0.000208409359741803,0.726804963818239
"20",0.057,3,"logit",2.71789006484805,-0.0006992819134787,-0.000107657499823122,0.367436467274056
"21",0.057,3,"bart",2.15693372281436,-0.000496060596283642,9.55638173719364e-05,-0.193519874759641
"22",0.057,4,"none",2.27694079375301,-0.000548288560714516,4.33358529410626e-05,-0.0735128038209827
"23",0.057,4,"rake",1.55461659812611,-0.000338441609477025,0.000253182804178553,-0.795836999447889
"24",0.057,4,"strat",1.6574383165543,-0.000354665057597497,0.000236959356058081,-0.693015281019695
"25",0.057,4,"calib",1.82158562079232,-0.000348039920544071,0.000243584493111508,-0.528867976781672
"26",0.057,4,"lasso",1.42066926611697,-0.000303098170491441,0.000288526243164137,-0.929784331457024
"27",0.057,4,"logit",1.77449116028754,-0.000400581367978528,0.00019104304567705,-0.575962437286453
"28",0.057,4,"bart",2.38616843291795,-0.000580882468633122,1.07419450224568e-05,0.0357148353439483
"29",0.057,5,"none",1.96640334070259,-0.000449341055282329,0.000142283358373249,-0.384050256871409
"30",0.057,5,"rake",1.20214400193055,-0.000256165935524362,0.000335458478131216,-1.14830959564345
"31",0.057,5,"strat",1.65874248204434,-0.000361359148034877,0.000230265265620701,-0.69171111552966
"32",0.057,5,"calib",1.81326122711445,-0.000430020434128623,0.000161603979526956,-0.537192370459549
"33",0.057,5,"lasso",1.94647223450426,-0.000486486474222009,0.000105137939433569,-0.403981363069736
"34",0.057,5,"logit",1.89915376587918,-0.000437061596150738,0.00015456281750484,-0.451299831694816
"35",0.057,5,"bart",2.05038697549754,-0.000470513312275768,0.00012111110137981,-0.300066622076457
"36",0.057,6,"none",2.1968392308305,-0.000529066895017133,6.25575186384453e-05,-0.153614366743501
"37",0.057,6,"rake",2.40625343585981,-0.000617896666461752,-2.62722528061735e-05,0.0557998382858091
"38",0.057,6,"strat",2.56016628877994,-0.000638859173421058,-4.72347597654793e-05,0.209712691205944
"39",0.057,6,"calib",2.29581252284082,-0.000547458137177556,4.41662764780225e-05,-0.0546410747331798
"40",0.057,6,"lasso",2.55574359566292,-0.000630859285789224,-3.92348721336453e-05,0.205289998088923
"41",0.057,6,"logit",2.44786919978669,-0.000603686931006131,-1.20625173505527e-05,0.0974156022126924
"42",0.057,6,"bart",2.14762620896076,-0.000512272219964714,7.93521936908639e-05,-0.202827388613234
"43",0.057,7,"none",2.28481254129817,-0.000570918534384044,2.07058792715347e-05,-0.0656410562758274
"44",0.057,7,"rake",2.15205208327986,-0.000557878834267686,3.37455793878927e-05,-0.198401514294138
"45",0.057,7,"strat",2.63633877204086,-0.000684204488747109,-9.2580075091531e-05,0.285885174466868
"46",0.057,7,"calib",1.76408862963556,-0.000416045743059303,0.000175578670596276,-0.586364967938441
"47",0.057,7,"lasso",2.4779536770053,-0.000643263958663131,-5.16395450075529e-05,0.127500079431306
"48",0.057,7,"logit",2.43878299299412,-0.000632916822693271,-4.12924090376931e-05,0.0883293954201267
"49",0.057,7,"bart",2.10201692607086,-0.00050098577894617,9.06386347094084e-05,-0.248436671503136
"50",0.057,8,"none",2.19381616032155,-0.000531669453220916,5.99549604346621e-05,-0.156637437252445
"51",0.057,8,"rake",1.83205829209839,-0.000462102619778738,0.000129521793876841,-0.518395305475606
"52",0.057,8,"strat",2.04309644057227,-0.000482852706285809,0.00010877170736977,-0.307357157001727
"53",0.057,8,"calib",2.25865190534087,-0.000592747027451725,-1.12261379614628e-06,-0.0918016922331275
"54",0.057,8,"lasso",2.26027470151865,-0.000563827900111345,2.77965135442337e-05,-0.0901788960553422
"55",0.057,8,"logit",2.20337790240506,-0.000534056037310972,5.75683763446068e-05,-0.147075695168937
"56",0.057,8,"bart",2.20115002268521,-0.000530709373215544,6.09150404400345e-05,-0.149303574888784
"57",0.057,9,"none",2.27361390656576,-0.000554011965366647,3.76124482889316e-05,-0.0768396910082365
"58",0.057,9,"rake",2.17926558569196,-0.000561653665535873,2.99707481197053e-05,-0.171188011882033
"59",0.057,9,"strat",2.3555817982085,-0.000573216471014924,1.84079426406544e-05,0.00512820063450814
"60",0.057,9,"calib",1.9476569903978,-0.000454037633118839,0.000137586780536739,-0.402796607176197
"61",0.057,9,"lasso",2.41145396782329,-0.0006182804062816,-2.66559926260217e-05,0.0610003702492947
"62",0.057,9,"logit",2.61162786453966,-0.000676110675164825,-8.44862615092466e-05,0.261174266965668
"63",0.057,9,"bart",2.21845033087054,-0.000529948853395867,6.16755602597117e-05,-0.132003266703462
"64",0.057,10,"none",2.04701933347616,-0.000487476090804612,0.000104148322850966,-0.303434264097838
"65",0.057,10,"rake",1.82024935960842,-0.00044160316454253,0.000150021249113048,-0.530204237965577
"66",0.057,10,"strat",2.03034342018218,-0.00047839230237252,0.000113232111283059,-0.320110177391817
"67",0.057,10,"calib",1.68318436453619,-0.000384513196886574,0.000207111216769005,-0.667269233037809
"68",0.057,10,"lasso",2.09709928822555,-0.000512935428408449,7.86889852471296e-05,-0.253354309348446
"69",0.057,10,"logit",1.96744941829775,-0.000465431132723763,0.000126193280931815,-0.383004179276247
"70",0.057,10,"bart",2.13980290671574,-0.000515503618675389,7.61207949801894e-05,-0.210650690858258
"71",0.057,11,"none",2.20271712644861,-0.000533939850960247,5.7684562695331e-05,-0.147736471125385
